serial no. of polling station,all india anna dravida munnetra kazhagam,naam tamilar katchi,dravida munnetra kazhagam,tamizhaga vaazhvurimai katchi,naam indiar party,aanaithinthiya jananayaka pathukappu kazhagam,bahujan dravida party,puthiya makkal tamil desam katchi,tamilaga vettri kazhagam,thamizhaka padaippalar makkal katchi,puthiya tamilagam,independent,independent.1,independent.2,independent.3,independent.4,independent.5,independent.6,independent.7,independent.8,total of valid votes,no. of rejected votes,nota,total,no. of tendered votes,building in which it will be located,polling areas,whether for all voters or men only or women only,building_clean,location_clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,AIADMK_Rank,NTK_Rank,DMK_Rank,TAVAK_Rank,NIP_Rank,PMTDK_Rank,TVK_Rank,IND1_Rank,IND2_Rank,IND3_Rank,IND4_Rank,IND5_Rank,IND6_Rank,IND7_Rank,IND8_Rank,IND9_Rank,Margin_Percentage,Total_Independent_Votes
147,73,39,148,1,0,0,0,1,184,1,52,2,1,0,3,2,0,3,0,1,511,0,0,511,0,"Adidiravidar  Primary School,  South Portion,  Eastren Side Ramayanpatti.",1.Ward 8 Chathram Pudukulam Enam Theneerkulam 999.OVERSEAS ELECTORS,General,"Adidiravidar  Primary School,  South Portion",Eastren Side Ramayanpatti.,tamilaga vettri kazhagam,184,148,36,dravida munnetra kazhagam,3,4,2,9,13,9,1,7,9,13,5,7,13,5,13,9,7.045009784735812,12
148,40,30,83,0,0,0,0,4,157,2,13,1,0,1,3,1,1,1,0,1,338,0,3,341,0,"Adidiravidar  High School,   East  Building   2nd Room Ramayanpatti.",1.Yadav Harijan Street 999.OVERSEAS ELECTORS,General,Adidiravidar  High School,East  Building   2nd Room Ramayanpatti.,tamilaga vettri kazhagam,157,83,74,dravida munnetra kazhagam,3,4,2,13,13,5,1,7,13,7,6,7,7,7,13,7,21.89349112426036,9
149,147,49,201,4,1,1,0,1,337,0,19,6,0,0,0,0,1,1,2,0,770,0,2,772,0,"Swamy Vivekananda Kinder  Garden & Nursery School,  East Side  Ramayanpatti.",1.Ward 9 Rajagopalapuram 999.OVERSEAS ELECTORS,General,Swamy Vivekananda Kinder  Garden & Nursery School,East Side  Ramayanpatti.,tamilaga vettri kazhagam,337,201,136,dravida munnetra kazhagam,3,4,2,6,8,8,1,5,12,12,12,12,8,8,7,12,17.66233766233766,10
150,101,45,175,0,0,1,1,1,216,0,11,3,0,1,0,3,2,0,3,3,566,0,2,568,0,"Swamy Vivekananda Kinder  Garden & Nursery School,  West Side  Ramayanpatti.","1.Ward 9 Vellakkovil  Street
2.Ward 9 Main Road Ramayanpatti
3.Ward 9 Panchayat  Office  Street 999.OVERSEAS ELECTORS",General,Swamy Vivekananda Kinder  Garden & Nursery School,West Side  Ramayanpatti.,tamilaga vettri kazhagam,216,175,41,dravida munnetra kazhagam,3,4,2,12,12,10,1,5,12,10,12,5,9,12,5,5,7.243816254416961,15
151,97,22,113,1,0,0,0,1,130,0,3,1,0,0,0,0,0,0,1,0,369,0,1,370,0,"Panchayat  Union Middle  School,  East  Side  Kammalankulam.",1.Ward 1 Abishekapatti 999.OVERSEAS ELECTORS,General,Panchayat  Union Middle  School,East  Side  Kammalankulam.,tamilaga vettri kazhagam,130,113,17,dravida munnetra kazhagam,3,4,2,5,9,5,1,5,9,9,9,9,9,9,5,9,4.607046070460704,2
152,72,36,250,3,0,1,0,1,115,0,141,2,0,2,3,1,1,0,3,1,632,0,6,638,0,"Panchayat  Union Middle  School,  West  Side Kammalankulam.",1.Ward 2 Kammalankulam Ward 3 Quary Colony 999.OVERSEAS ELECTORS,General,Panchayat  Union Middle  School,West  Side Kammalankulam.,dravida munnetra kazhagam,250,115,135,tamilaga vettri kazhagam,3,4,1,5,14,10,2,8,14,8,5,10,10,14,5,10,21.36075949367089,13
153,67,34,143,2,0,0,1,2,117,1,79,0,1,1,3,1,2,0,4,1,459,0,3,462,0,"Panchayat  Union Middle  School,  Back Side  Building West Portion Kammalankulam.",1.Ward 2 Kammalankulam 999.OVERSEAS ELECTORS,General,Panchayat  Union Middle  School,Back Side  Building West Portion Kammalankulam.,dravida munnetra kazhagam,143,117,26,tamilaga vettri kazhagam,3,4,1,7,14,7,2,14,10,10,6,10,7,14,5,10,5.664488017429194,13
154,134,39,108,3,1,1,0,2,213,0,11,0,0,4,4,1,0,7,0,1,529,0,2,531,0,"Panchayat  Union Middle  School,  New Building,  WestPortion, Thiruppanikarisalkulam.","1.Ward 2 Vadakkur  Mela Paguthi
2.Ward 2 Muppidathiamman Kovil  Street
3.Ward 2 Selvi  Nagar 999.OVERSEAS ELECTORS",General,"Panchayat  Union Middle  School,  New Building,  WestPortion",Thiruppanikarisalkulam.,tamilaga vettri kazhagam,213,134,79,all india anna dravida munnetra kazhagam,2,4,3,8,10,9,1,13,13,6,6,10,13,5,13,10,14.93383742911153,17
155,209,90,189,0,0,0,0,1,236,0,24,0,0,1,2,0,0,2,1,1,756,0,1,757,0,Panchayat  Union Middle  School  East  Portion Thiruppanikarisalkulam.,"1.Ward 2 Selvi  Amman Kovil  Street
2.Ward 4 Maravar  Nadar  Colony 999.OVERSEAS ELECTORS",General,Panchayat  Union Middle  School  East  Portion Thiruppanikarisalkulam.,Panchayat  Union Middle  School  East  Portion Thiruppanikarisalkulam.,tamilaga vettri kazhagam,236,209,27,all india anna dravida munnetra kazhagam,2,4,3,11,11,7,1,11,11,7,5,11,11,5,7,7,3.571428571428571,7
156,166,109,269,3,0,0,0,1,240,0,39,1,2,1,1,4,3,25,2,0,866,0,4,870,0,"Panchayat  Union Middle  School,  Tiled Building ,East Portion,  Thiruppanikarisalkulam","1.Ward 1 Yadavar  West  Street
2.Yadavar  East  Street
3.South Harijan Colony North Side
4.South Harijan Colony South Side
5.Adidiravidar  Colony. 999.OVERSEAS ELECTORS",General,"Panchayat  Union Middle  School,  Tiled Building ,East Portion",Thiruppanikarisalkulam,dravida munnetra kazhagam,269,240,29,tamilaga vettri kazhagam,3,4,1,7,15,11,2,11,9,11,11,6,7,5,9,15,3.348729792147806,39
157,99,23,187,3,0,1,0,0,212,0,12,0,0,0,0,0,0,0,1,0,538,0,1,539,0,Sri  Nivedhita Nursery & Primary School Thiruppanikarisalkulam   Road Pettai,1.Ward 18 Anna Nagar 999.OVERSEAS ELECTORS,General,Sri  Nivedhita Nursery & Primary School Thiruppanikarisalkulam   Road Pettai,Sri  Nivedhita Nursery & Primary School Thiruppanikarisalkulam   Road Pettai,tamilaga vettri kazhagam,212,187,25,dravida munnetra kazhagam,3,4,2,5,7,7,1,7,7,7,7,7,7,7,6,7,4.646840148698884,1
158,58,12,95,2,0,0,0,0,98,0,68,0,1,0,0,0,1,1,1,0,337,0,2,339,0,"Panchayat  Union Middle   School,  South Portion, Thiruppanikarisalkulam",1.Ward 18 Vagaikulam. 999.OVERSEAS ELECTORS,General,"Panchayat  Union Middle   School,  South Portion",Thiruppanikarisalkulam,tamilaga vettri kazhagam,98,95,3,dravida munnetra kazhagam,3,4,2,5,10,10,1,10,6,10,10,10,6,6,6,10,0.8902077151335311,4
159,112,36,314,1,1,0,0,0,266,0,92,1,0,0,0,1,1,0,2,0,827,0,2,829,0,Sri  Nivedhita Nursery & Primary School   West  Building East Portion Thiruppanikarisalkulam   Road Pettai,1.1Ward 18 Senthamil  Nagar 999.OVERSEAS ELECTORS,General,Sri  Nivedhita Nursery & Primary School   West  Building East Portion Thiruppanikarisalkulam   Road Pettai,Sri  Nivedhita Nursery & Primary School   West  Building East Portion Thiruppanikarisalkulam   Road Pettai,dravida munnetra kazhagam,314,266,48,tamilaga vettri kazhagam,3,4,1,6,6,11,2,6,11,11,11,6,6,11,5,11,5.804111245465538,5
160,170,33,224,0,1,0,1,0,176,1,42,0,1,1,0,1,1,0,4,0,656,0,1,657,0,"Panchayat  Union Primary School,  Thulukkarkulam.","1.Ward 3 Vadukanpatti  West  Street
2.Ward 3 Vadukanpatti  East  Street
3.Ward 3 Vadukanpatti  Colony   Street
4.Ward 1 Thulukkarkulam West  Street
5.Ward 1 Thulukkarkulam East  Street
6.Ward 2 Thulukkarkulam Anna Street 999.OVERSEAS ELECTORS",General,Panchayat  Union Primary School,Thulukkarkulam.,dravida munnetra kazhagam,224,176,48,tamilaga vettri kazhagam,3,4,1,11,6,11,2,11,6,6,11,6,6,11,5,11,7.317073170731707,8
161,111,60,142,1,0,0,0,2,294,2,9,0,2,1,2,2,1,1,4,1,635,0,2,637,0,T.D.T.A Primary   School   South Portion East  Side Vellankulam.,"1.Ward 2 Muthankulam
2.Ward 2 Vellalankulam 999.OVERSEAS ELECTORS",General,T.D.T.A Primary   School   South Portion East  Side Vellankulam.,T.D.T.A Primary   School   South Portion East  Side Vellankulam.,tamilaga vettri kazhagam,294,142,152,dravida munnetra kazhagam,3,4,2,10,15,6,1,15,6,10,6,6,10,10,5,10,23.93700787401575,14
162,75,26,50,0,0,0,1,1,175,1,2,0,0,1,1,0,0,0,0,1,334,0,0,334,0,T.D.T.A   Primary School  South Portion West  Side Vellalankulam.,"1.Ward 2 Narayanasamy Kovil  Street
2.Ward 2 Amman Kovil  Lane  Street
3.Ward 2 Amman Kovil  Street 999.  OVERSEAS ELECTORS",General,T.D.T.A   Primary School  South Portion West  Side Vellalankulam.,T.D.T.A   Primary School  South Portion West  Side Vellalankulam.,tamilaga vettri kazhagam,175,75,100,all india anna dravida munnetra kazhagam,2,4,3,9,9,5,1,9,9,5,5,9,9,9,9,5,29.94011976047904,3
163,61,28,98,2,0,1,0,1,51,0,13,0,0,1,0,1,1,0,1,1,260,0,0,260,0,Panchayat  Union Primary School  Vettuvankulam,1.Ward 1 Vettuvankulam Krishnaperi 999.  OVERSEAS ELECTORS,General,Panchayat  Union Primary School  Vettuvankulam,Panchayat  Union Primary School  Vettuvankulam,dravida munnetra kazhagam,98,61,37,all india anna dravida munnetra kazhagam,2,4,1,5,12,6,3,12,12,6,12,6,6,12,6,6,14.23076923076923,5
164,112,80,144,3,0,4,0,5,407,1,77,1,0,2,8,2,0,0,3,0,849,0,0,849,0,"Panchayat  Union Primary School,  New Building West Portion,  East  Side   Seethaparpanallur.","1.Ward 1 Mela Street  MelaKaruvanallur
2.Ward 1 Amman Kovil  North Street
3.Ward 1 Amman Kovil  Middle  Street
4.Ward 1 Amman Kovil  East  Street
5.Ward 1 Amman Kovil  Street  Kangeyankulam
6.AD Colony-Kangeyankulam
7.Ward 1 Veda Kovil  Street
8.Ward 1 Middle  Street  Velarkulam
9.Ward 1 Pillaiyar  Kovil  Street  Velarulam
10.Ward 1 Perumal  Kovil  Street  Velarkulam
11.Ward 1 South Street  Velarkulam 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  New Building West Portion",East  Side   Seethaparpanallur.,tamilaga vettri kazhagam,407,144,263,dravida munnetra kazhagam,3,4,2,7,12,6,1,11,12,9,5,9,12,12,7,12,30.97762073027091,16
165,122,55,138,5,0,1,2,3,336,4,69,2,3,2,2,4,1,0,0,1,750,0,5,755,0,"Panchayat  Union Primary School,  New Building West Portion,  Seethaparpanallur.","1.SeethaParpanallur  Main Road
2.Uganthanpatti  Road
3.Samadhuvapuram
4.Amman Kovil  Street
5.Pillaiyar  Kovil  Street
999.  OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  New Building West Portion",Seethaparpanallur.,tamilaga vettri kazhagam,336,138,198,dravida munnetra kazhagam,3,4,2,5,14,7,1,9,7,9,9,6,12,14,14,12,26.4,15
166,158,26,111,0,1,2,0,1,371,1,2,0,0,1,3,1,3,0,0,1,682,0,2,684,0,"Panchayat  Union Primary School,  New Building East Portion,  Seethaparpanallur.","1.Colony Street  Sirugankurichi
2.Mettu Street
3.Amman Kovil  South Street
4.Amman Kovil  North Street
5.Pillaiyar  Kovil  Street
6.Amman Kovil  Street  Sirugankurichi 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  New Building East Portion",Seethaparpanallur.,tamilaga vettri kazhagam,371,158,213,all india anna dravida munnetra kazhagam,2,4,3,12,7,7,1,12,12,7,5,7,5,12,12,7,31.2316715542522,9
167,251,72,64,0,0,1,0,2,257,0,1,2,1,0,1,3,1,1,0,2,659,0,0,659,0,"Hindu Primary School,  Sankanthiradu.","1.Ward 1 Sankanthiradu North Street
2.Sankanthiradu Middle  Street  Amman Kovil  Street 999.OVERSEAS ELECTORS",General,Hindu Primary School,Sankanthiradu.,tamilaga vettri kazhagam,257,251,6,all india anna dravida munnetra kazhagam,2,3,4,13,13,6,1,6,9,13,9,5,9,9,13,6,0.9104704097116844,11
168,139,39,44,0,0,3,0,0,66,1,0,0,0,0,0,1,1,0,0,0,294,0,1,295,0,Community Hall   South Sankanthiradu,1.Ward 2 Sankanthiradu South Street  South Sankanthiradu 999.OVERSEAS ELECTORS,General,Community Hall   South Sankanthiradu,Community Hall   South Sankanthiradu,all india anna dravida munnetra kazhagam,139,66,73,tamilaga vettri kazhagam,1,4,3,7,7,7,2,7,7,7,7,5,5,7,7,7,24.82993197278912,2
169,190,36,139,0,0,8,0,2,281,0,33,0,0,0,10,3,6,0,3,0,711,0,1,712,0,"Panchayat  Union Primary School,  Melakkallur.","1.Ward 1,2 Melakallur  Gangatharan North Street  (Agraharam),
2.Ward 3 Harijan Kudiyiruppu. 999.OVERSEAS ELECTORS",General,Panchayat  Union Primary School,Melakkallur.,tamilaga vettri kazhagam,281,190,91,all india anna dravida munnetra kazhagam,2,4,3,10,10,9,1,10,10,10,5,7,6,10,7,10,12.79887482419128,22
170,327,114,130,0,2,1,0,1,272,2,2,0,0,0,6,0,3,1,3,2,866,0,0,866,0,"Government  Hr.Sec.  School,  East  Portion,  South Side,  New Building,  Nadukkallur..","1.Ward 1 CR Colony North Pudukkudikallur,
2.Ward 1 Pillaiyar  Kovil  Street
3.Ward 1 Muppidathiamman Kovil  Street
4.Ward 2 South Street  (South Pudukkudikallur) 999.OVERSEAS ELECTORS",General,"Government  Hr.Sec.  School,  East  Portion,  South Side,  New Building",Nadukkallur..,all india anna dravida munnetra kazhagam,327,272,55,tamilaga vettri kazhagam,1,4,3,12,8,10,2,12,12,12,5,12,6,10,6,8,6.351039260969977,15
171,250,89,103,0,1,3,0,1,171,1,1,0,0,0,0,3,1,2,1,0,627,0,3,630,0,"Government  Hr.Sec.  School,  South Portion Sarva Siksha Abiyan Building,  Nadukkallur.","1.Ward 1 Railway Feeder  Road
2.Ward 2 North Street 999.OVERSEAS ELECTORS",General,"Government  Hr.Sec.  School,  South Portion Sarva Siksha Abiyan Building",Nadukkallur.,all india anna dravida munnetra kazhagam,250,171,79,tamilaga vettri kazhagam,1,4,3,11,7,7,2,11,11,11,11,5,7,6,7,11,12.59968102073365,7
172,188,43,136,2,0,2,1,0,279,1,7,0,0,2,2,1,1,1,1,0,667,0,0,667,0,"Government  Hr.Sec.  School,  Main Building,  Western Side, Nadukkallur.","1.Ward 2 East  Kallur
2.Mariamman Kovil  Street Mupidathiamman Kovil  Street
3.Ward 3 Kudipadai  Street
4.Ward 3 Agraharam. 999.OVERSEAS ELECTORS",General,"Government  Hr.Sec.  School,  Main Building,  Western Side",Nadukkallur.,tamilaga vettri kazhagam,279,188,91,all india anna dravida munnetra kazhagam,2,4,3,5,12,12,1,12,12,5,5,8,8,8,8,12,13.6431784107946,8
173,75,17,112,0,0,0,0,1,139,0,86,0,0,0,1,1,0,1,0,0,433,0,1,434,0,"Government  Hr.Sec.  School,  South Building,  North Face East  Portion   ,Nadukkallur.","1.Ward 3 Pattankallur  Colony
2.Ward 3 MGR Colony
3.Ward 3 MGR Nagar 999.OVERSEAS ELECTORS",General,"Government  Hr.Sec.  School,  South Building,  North Face East  Portion",Nadukkallur.,tamilaga vettri kazhagam,139,112,27,dravida munnetra kazhagam,3,4,2,9,9,5,1,9,9,9,5,5,9,5,9,9,6.235565819861432,3
174,243,57,104,2,0,0,0,4,335,0,86,1,0,2,5,2,2,2,0,1,846,0,5,851,0,"Panchayat  Union Primary School,  South   Building, Gramamangalam Pazhavoor.","1.Ward 2 Pattancheri
2.Ward 1 Senthikadevi  Amman Kovil  Street
3.Ward 1 Chinna Pillaiyar  Kovil  Street
4.Ward 1 North Street
5.Ward 2 Colony Street
6.Ward 2 New Street
7.Ward 1 Yadhavar  North Street
8.Ward 1 Yadhavar  Middle  Street
9.Ward 1 East  Street
10.Ward 1 Velalar  Street 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  South   Building",Gramamangalam Pazhavoor.,tamilaga vettri kazhagam,335,243,92,all india anna dravida munnetra kazhagam,2,4,3,7,14,6,1,12,14,7,5,7,7,7,14,12,10.87470449172577,15
175,209,27,67,0,1,1,0,1,320,1,8,0,0,1,4,1,0,1,0,1,643,0,2,645,0,"Panchayat  Union Primary School,  North Building,  Eastern Portion,  Gramamangalam Pazhavoor.","1.Ward 1 Esakkiamman Kovil  Street
2.Ward 1 Sudaimadasamy Kovil  Street
3.Ward 1 Pillaiyar  Kovil  Street
4.Ward 1 Naduvoor  North Street
5.Ward 1 Naduvoor  East  Street
6.Ward 1 Naduvoor  Muppidathiamman Kovil  Street
7.Ward 1 Main Road
8.Ward 1 Ricemill  Street
9.Ward 1 West  Street
10.Ward 1 Sasthan Kovil  Street 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  North Building,  Eastern Portion",Gramamangalam Pazhavoor.,tamilaga vettri kazhagam,320,209,111,all india anna dravida munnetra kazhagam,2,4,3,12,6,6,1,12,12,6,5,6,12,6,12,6,17.26283048211508,8
176,142,66,192,1,2,0,0,0,323,1,4,0,0,0,1,0,1,0,1,1,735,0,1,736,0,"Panchyat  Union Primary School,  North Side  Kondanagaram.","1.Ward 1 Adidiravidar  Colony
2.Ward 1 Bharathi  Nagar  West
3.Ward 1 Astalakshmi Nagar 999.OVERSEAS ELECTORS",General,Panchyat  Union Primary School,North Side  Kondanagaram.,tamilaga vettri kazhagam,323,192,131,dravida munnetra kazhagam,3,4,2,6,5,11,1,11,11,11,6,11,6,11,6,6,17.82312925170068,4
177,166,56,259,1,1,2,0,3,314,0,12,1,1,2,0,0,1,0,2,1,822,0,3,825,0,"Panchyat  Union Primary School,  North Side  Kondanagaram.
South Building North Facing.","1.Ward 1 RajivGandhi  Nagar
2.Ward 1 AD Colony
3.Ward 1 Seenivasapuram
4.Ward 2 Muppidathiamman Kovil  Street 999.OVERSEAS ELECTORS",General,Panchyat  Union Primary School,"North Side  Kondanagaram.
South Building North Facing.",tamilaga vettri kazhagam,314,259,55,dravida munnetra kazhagam,3,4,2,8,8,5,1,8,8,6,14,14,8,14,6,8,6.690997566909976,8
178,278,65,155,6,0,1,0,2,153,1,2,1,0,2,0,2,4,1,0,0,673,0,1,674,0,"Panchyat  Union Primary School,  West  Side  Kondanagaram.","1.Ward 3 Sivankovil  Street
2.Ward 4 Narayanasamy Kovil  Street
3.Ward 4 Pillaiyar  Kovil  Street 999.OVERSEAS ELECTORS",General,Panchyat  Union Primary School,West  Side  Kondanagaram.,all india anna dravida munnetra kazhagam,278,155,123,dravida munnetra kazhagam,1,4,2,5,12,7,3,10,12,7,12,7,6,10,12,12,18.27637444279346,10
179,149,59,184,1,0,0,2,0,237,0,48,0,0,0,3,2,1,0,0,0,686,0,2,688,0,"Panchayat  Union Primary School,  North Portion,  West  Block
,  New Building,  Suthamalli.","1.Ward 1 Muppidathiamman Kovil  Street
2.Ward 1 Sundaravinayagar  Kovil  Street
3.Ward 1 Narayanasamy Kovil  Street
4.Ward 1 Indira Colony
5.Ward 1 Arunthathiyar  Colony
6.Ward 1 Periyar  Nagar 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  North Portion,  West  Block
,  New Building",Suthamalli.,tamilaga vettri kazhagam,237,184,53,dravida munnetra kazhagam,3,4,2,7,9,9,1,9,9,9,5,6,7,9,9,9,7.725947521865889,6
180,66,18,74,0,0,0,0,0,131,0,0,0,0,0,0,0,1,0,0,0,290,0,3,293,0,"Panchayat  Union Primary School,  West  Block,  South Portion New Building,  Suthamalli",1.Ward 2 NSC Bose  Nagar 999.OVERSEAS ELECTORS,General,"Panchayat  Union Primary School,  West  Block,  South Portion New Building",Suthamalli,tamilaga vettri kazhagam,131,74,57,dravida munnetra kazhagam,3,4,2,6,6,6,1,6,6,6,6,6,5,6,6,6,19.6551724137931,1
181,154,25,134,2,0,0,0,1,230,1,2,0,0,1,0,0,0,0,1,0,551,0,2,553,0,Panchayat  Union Primary School  East  Building West  Portion Suthamalli,1.Ward 2 Gomathi  Nagar  West  & Gramangalam 999.OVERSEAS ELECTORS,General,Panchayat  Union Primary School  East  Building West  Portion Suthamalli,Panchayat  Union Primary School  East  Building West  Portion Suthamalli,tamilaga vettri kazhagam,230,154,76,all india anna dravida munnetra kazhagam,2,4,3,5,9,6,1,9,9,6,9,9,9,9,6,9,13.79310344827586,2
182,228,72,265,0,0,2,1,3,300,1,0,1,1,2,0,3,0,1,1,0,881,0,2,883,0,"Government  Hr.Sec.  School,  South Portion Hall  No.  4 Suthamalli.","1.Ward 3 Yadavar  West  Street
2.Ward 4 Kovil  Pathu Street 999.OVERSEAS ELECTORS",General,Government  Hr.Sec.  School,South Portion Hall  No.  4 Suthamalli.,tamilaga vettri kazhagam,300,265,35,dravida munnetra kazhagam,3,4,2,12,12,5,1,8,8,7,12,5,12,8,8,12,3.972758229284903,9
183,128,32,169,0,0,0,0,0,141,0,0,0,0,0,1,0,1,0,0,0,472,0,1,473,0,"Government  Hr.Sec.  School,  North Portion Hall  No.  3 Suthamalli.i.","1.Ward 3 A.K.  Street
2.Ward 3 East  Street 999.OVERSEAS ELECTORS",General,Government  Hr.Sec.  School,North Portion Hall  No.  3 Suthamalli.i.,dravida munnetra kazhagam,169,141,28,tamilaga vettri kazhagam,3,4,1,7,7,7,2,7,7,7,5,7,5,7,7,7,5.932203389830509,2
184,115,32,190,4,0,0,0,0,186,1,0,1,2,0,1,1,1,0,1,0,535,0,2,537,0,Panchayat  Office  Suthamalli,"1.Ward 4 Vadakkur  Anna Nagar
2.Ward 4 Kovil  Pathu Street
3.Ward 4 Mela Gramam
4.Ward 4 Keela Gramam 999.OVERSEAS ELECTORS",General,Panchayat  Office  Suthamalli,Panchayat  Office  Suthamalli,dravida munnetra kazhagam,190,186,4,tamilaga vettri kazhagam,3,4,1,5,12,12,2,7,6,12,7,7,7,12,7,12,0.7476635514018692,7
185,106,45,297,4,0,2,0,2,310,1,1,0,0,1,0,0,0,0,0,1,770,0,3,773,0,Community Hall  West  Portion V O C Nagar  Suthamalli,1.Ward 4 V.O.C Nagar. 999.OVERSEAS ELECTORS,General,Community Hall  West  Portion V O C Nagar  Suthamalli,Community Hall  West  Portion V O C Nagar  Suthamalli,tamilaga vettri kazhagam,310,297,13,dravida munnetra kazhagam,3,4,2,5,9,6,1,9,9,7,9,9,9,9,9,7,1.688311688311688,2
186,78,49,367,3,0,0,0,1,296,1,4,0,1,0,1,1,4,0,1,2,809,0,1,810,0,Community Hall  East  Portion V O C Nagar  Suthamalli,1.Ward 4 V.O.C Nagar. 999.OVERSEAS ELECTORS,General,Community Hall  East  Portion V O C Nagar  Suthamalli,Community Hall  East  Portion V O C Nagar  Suthamalli,dravida munnetra kazhagam,367,296,71,tamilaga vettri kazhagam,3,4,1,6,13,8,2,13,8,13,8,8,5,13,8,7,8.776266996291717,10
187,114,40,86,0,0,0,0,1,239,0,2,0,1,0,0,0,0,0,1,0,484,0,1,485,0,"St.  Antony Primary School,  South Portion,  East  Block, Bharathiyar  Nagar,  Suthamalli.",1.Ward 2 Bharathiyar  Nagar 999.OVERSEAS ELECTORS,General,"St.  Antony Primary School,  South Portion,  East  Block, Bharathiyar  Nagar",Suthamalli.,tamilaga vettri kazhagam,239,114,125,all india anna dravida munnetra kazhagam,2,4,3,8,8,5,1,8,5,8,8,8,8,8,5,8,25.82644628099173,2
188,130,22,132,1,0,0,0,0,144,0,1,1,0,0,1,0,0,0,0,0,432,0,1,433,0,"St.  Antony Primary School,  South   Building North Face  , Middle  Portion Bharathiyar  Nagar,  Suthamalli.",1.Ward 2 Bharathiyar  Nagar 999.OVERSEAS ELECTORS,General,"St.  Antony Primary School,  South   Building North Face  , Middle  Portion Bharathiyar  Nagar",Suthamalli.,tamilaga vettri kazhagam,144,132,12,dravida munnetra kazhagam,3,4,2,5,8,8,1,5,8,8,5,8,8,8,8,8,2.777777777777778,2
189,183,36,153,2,0,0,2,1,250,2,1,1,0,1,1,0,5,0,0,1,639,0,1,640,0,"St.  Antony Primary School,  South Portion,  West  Block, Bharathiyar  Nagar,  Suthamalli.","1.Ward 2 Periyar  Nagar
2.Ward 2 Mahathma Gandhi  Nagar 999.OVERSEAS ELECTORS",General,"St.  Antony Primary School,  South Portion,  West  Block, Bharathiyar  Nagar",Suthamalli.,tamilaga vettri kazhagam,250,183,67,all india anna dravida munnetra kazhagam,2,4,3,6,12,7,1,7,12,7,7,12,5,12,12,7,10.48513302034429,9
190,114,46,100,2,2,0,0,2,245,1,3,1,0,1,3,1,0,0,1,0,522,0,1,523,0,"T.D.T.A Primary School,  North Side,  2/170 Bharathiyar Nagar,  Suthamalli.","1.Ward 2 Sathya Nagar
2.Ward 1 Ambedkar  Nagar 999.OVERSEAS ELECTORS",General,"T.D.T.A Primary School,  North Side,  2/170 Bharathiyar Nagar",Suthamalli.,tamilaga vettri kazhagam,245,114,131,all india anna dravida munnetra kazhagam,2,4,3,6,6,6,1,9,13,9,5,9,13,13,9,13,25.09578544061303,7
191,86,48,95,0,0,0,0,1,204,0,4,0,0,0,0,0,0,1,1,1,441,0,0,441,0,"T.D.T.A Primary School,  South Side  New Building North Portion   Bharathiyar  Nagar,  Suthamalli.","1.Thiruvalluvar  Nagar
2.Ward 2 Ram Nagar 999.OVERSEAS ELECTORS",General,"T.D.T.A Primary School,  South Side  New Building North Portion   Bharathiyar  Nagar",Suthamalli.,tamilaga vettri kazhagam,204,95,109,dravida munnetra kazhagam,3,4,2,9,9,5,1,9,9,9,9,9,9,5,5,5,24.71655328798186,3
192,117,45,140,0,1,0,0,2,210,1,25,0,0,0,0,1,3,2,0,2,549,0,2,551,0,"T.D.T.A Primary School,  East  Portion,  2/170 Bharathiyar Nagar,  Suthamalli.West  Portion","1.Ward 2 Gomathi  Nagar
2.Ward 1 Guru Nagar
3.Ward 1 Muppidathi  Amman Kovil  Street 999.OVERSEAS ELECTOR",General,"T.D.T.A Primary School,  East  Portion,  2/170 Bharathiyar Nagar",Suthamalli.West  Portion,tamilaga vettri kazhagam,210,140,70,dravida munnetra kazhagam,3,4,2,11,9,6,1,11,11,11,11,9,5,6,11,6,12.75045537340619,8
