Serial No. Of Polling Station,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Bahujan Samaj Party,Naam Indiar Party,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Thamizh Perarasu Katchi,Tamilaga Vettri Kazhagam,Puthiya Makkal Tamil Desam Katchi,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Independent.5,Independent.6,Independent.7,Independent.8,Independent.9,Independent.10,Independent.11,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Locality,Building in Which it will be Located,Polling Area,Whether for all Voters or men olny or women only,Total_Valid_Votes_Clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Dravida Munnetra Kazhagam_Rank,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Tamilar Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Bahujan Samaj Party_Rank,Naam Indiar Party_Rank,All India Puratchi Thalaivar Makkal Munnettra Kazhagam_Rank,Thamizh Perarasu Katchi_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Independent.4_Rank,Independent.5_Rank,Independent.6_Rank,Independent.7_Rank,Independent.8_Rank,Independent.9_Rank,Independent.10_Rank,Independent.11_Rank,Margin_Percentage,Total_Independent_Votes
275,111,149,41,0,1,0,2,251,0,10,0,1,1,1,0,1,0,0,0,0,0,569,0,1,570,0,"Shunmuga
Sigamani  Nagar Kovilpatti","Inter  christian  Mission  Middle  School,  South building,  west  last  room  Shunmuga  sigamani nagar  Kovilpatti","1.PandavarMangalam  (R.V)  And  (P)  Shanmugasigamani  Nagar  First StreetBlock  5  ,  2.Pandavarmangalam  (R.V)  And  (P)  Shanmughacigamani ThirdStreet  Block  5  999.OVERSEAS  ELECTORS",All  Voters,569,Tamilaga Vettri Kazhagam,251,149,102,Dravida Munnetra Kazhagam,2,3,4,1,12,7,12,6,12,5,12,7,7,7,12,7,12,12,12,12,12,17.9261862917399,14
276,91,194,46,1,0,0,0,235,0,4,0,0,0,1,0,2,2,0,1,1,0,578,0,4,582,0,"Shunmuga
Sigamani  Nagar Kovilpatti","Inder  christian  Mission  Middle  school,  East Building,  2nd  room  from  South,  Shunmuga sigamani  nagar  kovilpatti","1.Pandavarmangalam  (R.V)  And  (P)  Shanmughacigamani  FourthStreet Block  5  ,  2.Pandavarmangalam  (R.V)  And  (P)  Shanmughacigamani
FifthStreet  Block  5  ,3.Pandavar  Mangalam  (R.V)  And  (P)  Pallaku  Road
North  Block  5  999.OVERSEAS  ELECTORS",All  Voters,578,Tamilaga Vettri Kazhagam,235,194,41,Dravida Munnetra Kazhagam,2,3,4,1,8,12,12,12,12,5,12,12,12,8,12,6,6,12,8,8,12,7.093425605536333,11
277,110,204,63,2,0,0,1,318,1,23,0,0,0,2,1,2,0,0,0,1,0,728,0,3,731,0,"Shunmuga
Sigamani  Nagar Kovilpatti","Inter  christian  Mission  Middle  School,  South building,  2nd  room  from  west,  Shunmuga
Sigamani  nagar  Kovilpatti","1.Pandavarmangalam  (R.V)  And  (P)  Shanmugasigamani  nagar  block  5  ,
2.Pandavar  Mangalam  (R.V)  And  (P)  Shunmugasigamani  Nagar  6Th  Street Block  5  ,  3.Pandavar  Mangalam(P)  Shunmugasigamani  Nagar  Six  Th
Street  West  Block  5  ,  ,  999.OVERSEAS  ELECTORS",All  Voters,728,Tamilaga Vettri Kazhagam,318,204,114,Dravida Munnetra Kazhagam,2,3,4,1,6,13,13,9,9,5,13,13,13,6,9,6,13,13,13,9,13,15.65934065934066,29
278,97,85,19,0,0,0,0,116,1,2,0,0,1,0,0,0,0,2,0,0,0,323,0,1,324,0,Pandavarmangalam Kovilpatti,"Nadar  Hr.  Sec.  School  South  Building  5th Room  from  west,  Shunmugasigamani  Nagar Pandavarmangalam  Kovilpatti","1.PandavarMangalam  (R.V)  And(P)  Thiru  Nagar  Block  6  ,  2.Pandavar Mangalam  (R.V)  And  (P)  Rageev  Nagar  2nd  Street  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,323,Tamilaga Vettri Kazhagam,116,97,19,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,9,9,9,9,7,5,9,9,7,9,9,9,9,5,9,9,9,5.88235294117647,5
279,84,109,28,0,0,0,1,166,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,388,0,Pandavarmangalam Kovilpatti,Nadar  Hr.  Sec.  School  South  Building  4th room  from  east  Shunmugasigamani  Nagar Pandavarmangalam  Kovilpatti,"1.Pandavar  Mangalam  (R.V)  And  (P)  Rageev  Nagar  3rd  Street  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,388,Tamilaga Vettri Kazhagam,166,109,57,Dravida Munnetra Kazhagam,2,3,4,1,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,14.69072164948454,0
280,103,79,37,0,0,0,1,174,0,1,1,0,0,0,0,0,1,0,0,1,0,398,0,0,398,0,Pandavarmangalam Kovilpatti,"Nadar  Hr.  Sec.  School  South  Building,  6th room  from  west,  Shunmugasigamani  Nagar Pandavarmangalam","1.Pandavar  Mangalam  (R.V)  And  (P)  Rageev  Nagar  4th  Street  Block  6  ,, 999.OVERSEAS  ELECTORS",All  Voters,398,Tamilaga Vettri Kazhagam,174,103,71,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,10,10,10,5,10,5,5,10,10,10,10,10,5,10,10,5,10,17.8391959798995,4
281,90,99,20,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,3,317,0,Pandavarmangalam Kovilpatti,"Nadar  Hr.  Sec.  School  South  Building,  3rd room  from  west,  Shunmugasigamani  Nagar Pandavarmangalam",1.Pandavar  Mangalam  (R.V)And  (P)  Ragiv  Nagar  5th  Street  Block  6 999.OVERSEAS  ELECTORS,All  Voters,314,Tamilaga Vettri Kazhagam,105,99,6,Dravida Munnetra Kazhagam,2,3,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.910828025477707,0
282,116,85,25,1,0,0,0,133,0,0,0,0,0,0,1,0,0,0,0,0,0,361,0,2,363,0,Pandavarmangalam Kovilpatti,"Nadar  Hr.  Sec.  School  South  Building,  4th Room  from  west,  Shunmugasigamani  Nagar Pandavarmangalam","1.Pandavar  Mangalam  (R.V)  And  (P)  Rageev  Nagar  1st  Street  Block  6  , 2.PandavarMangalam  (R.V)  And  (P)  Rajiv  Nagar  Street  2  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,361,Tamilaga Vettri Kazhagam,133,116,17,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,5,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,4.709141274238227,1
283,125,119,21,0,0,0,3,180,0,2,0,0,0,0,0,1,0,0,0,0,0,451,0,3,454,0,Pandavarmangalam Kovilpatti,"Nadar  Hr.  Sec.  School  South  Building,  3rd room  from  East,  Shunmugasigamani  Nagar Pandavarmangalam","1.Pandavarmangalam  (R.V)  And  (P)  E.B.Colony  North  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,451,Tamilaga Vettri Kazhagam,180,125,55,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,8,8,8,5,8,6,8,8,8,8,8,7,8,8,8,8,8,12.19512195121951,3
284,84,135,25,2,1,1,0,148,0,6,0,0,0,0,0,0,0,0,0,0,0,402,0,1,403,0,"Shunmugasigamani Nagar,  Kovilpatti","Inter  christian  Mission  Middle  School,  South Building,  East  Last  Room,  Shunmuga
sigamani  nagar  Kovilpatti","1.Pandavar  Mangalam  (R.V)  And  (P)  Pallaku  Road  South  Block  5  , 2.Pandavarmangalam  (R.V)  And  (P)  Rajiv  Nagar  Street  3  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,402,Tamilaga Vettri Kazhagam,148,135,13,Dravida Munnetra Kazhagam,2,3,4,1,6,7,7,9,9,5,9,9,9,9,9,9,9,9,9,9,9,3.233830845771144,6
285,131,126,39,0,0,1,0,193,1,7,0,0,0,0,0,0,0,0,0,0,0,498,0,5,503,0,"Shunmugasigamani Nagar,  Kovilpatti","Inter  christian  Mission  Middle  School,  East Building,  South  Last  Room  Shunmuga sigamaninagar,  Pandavarmangalam.
kovilpatti",1.Pandavarmangalam  (R.V)  And  (P)  Rajiv  Nagar  Street  6  Block  6  Door  No. 1  to  1200  (  sl.no.  1  to  739)  999.OVERSEAS  ELECTORS,All  Voters,498,Tamilaga Vettri Kazhagam,193,131,62,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,8,8,6,8,6,5,8,8,8,8,8,8,8,8,8,8,8,12.44979919678715,7
286,130,104,35,1,0,0,0,325,1,4,0,0,0,0,0,0,1,1,0,0,0,602,0,3,605,0,"Shunmugasigamani Nagar,  Kovilpatti","Inter  christian  Mission  Middle  School,  South Building,  Middle  Portion,  Shunmuga sigamaninagar,  Pandavarmangalam.
kovilpatti",1.Pandavarmangalam  (R.V)  And  (P)  Rajiv  Nagar  Street  6  Door  No  1200 above  Block  6  Sl.No.740-1523  )999.OVERSEAS  ELECTORS,All  Voters,602,Tamilaga Vettri Kazhagam,325,130,195,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,6,10,10,10,6,5,10,10,10,10,10,10,6,6,10,10,10,32.39202657807309,6
287,158,153,36,1,0,0,2,252,0,3,0,0,0,0,0,0,1,1,0,1,0,608,0,2,610,0,Pandavarmangalam Kovilpatti,"Nadar  Hr.  Sec.  School,  South  Building,  6th Room  from  East,  Shunmugasigamani  Nagar Pandavarmangalam  Kovilpatti","1.Pandavar  Mangalam  (R.V)  And  (P)  Pallaku  Road  Street  Block  6  , 2.Pandavarmangalam  (R.V)  And  (P)  EB  colony  south  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,608,Tamilaga Vettri Kazhagam,252,158,94,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,7,11,11,6,11,5,11,11,11,11,11,11,7,7,11,7,11,15.46052631578947,6
288,105,104,23,0,0,0,0,190,0,0,0,0,0,1,0,1,0,0,0,0,0,424,0,0,424,0,Pandavarmangalam Kovilpatti,"Nadar  Hr.  Sec.  School  South  Building,  5th Room  from  east,  Shunmugasigamani  Nagar Pandavarmangalam  Kovilpatti","1.Pandavarmangalam  (R.V)  And  (P)  Kamaraj  Nagar  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,424,Tamilaga Vettri Kazhagam,190,105,85,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,7,7,7,7,7,7,7,7,7,5,7,5,7,7,7,7,7,20.04716981132076,2
289,92,71,19,0,0,1,0,142,0,1,0,0,0,0,0,0,0,0,0,0,0,326,0,1,327,0,"Shunmugasigamani Nagar,  Kovilpatti","Inter  christian  Mission  Middle  School,  West building  4th  room  from  north,  shunmuga
sigamani  nagar  Kovilpatti","1.Pandavarmangalam(R.V)  And  (P)  Shanmughacigamani  Second  Street Block  5  ,  2.Pandavarmangalam  (R.V)  And(P)  Balaji  Nagar  Block  6
,OVERSEAS  ELECTORS",All  Voters,326,Tamilaga Vettri Kazhagam,142,92,50,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,7,7,5,7,7,5,7,7,7,7,7,7,7,7,7,7,7,15.33742331288344,1
289A,141,125,31,1,0,2,2,200,0,5,0,0,0,0,0,1,0,0,0,0,0,508,0,2,510,0,"Shunmugasigaman i  Nagar,  Kovilpatti","Inter  christian  Mission  Middle  School, west  building,  3rd  Room  from  north, shunmuga  sigamani  nagar  Kovilpatti","1.Pandavarmangalam  (R.V)  And  (P)  Annai  Thersa  Nagar  Block  6  ,(Part 2)  (Door  No  1377  from  )  999.OVERSEAS  ELECTORS",All  Voters,508,Tamilaga Vettri Kazhagam,200,141,59,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,8,10,6,6,10,5,10,10,10,10,10,8,10,10,10,10,10,11.61417322834646,6
290,130,115,36,1,0,0,0,175,0,3,0,1,0,1,0,0,0,0,0,0,0,462,0,2,464,0,"Shunmugasigaman i  Nagar,  Kovilpatti","Nadar  Hr.  Sec.  School  South  Building,  2nd room  from  west,  Shunmugasigamani
Nagar  Pandavarmangalam","1.Pandavarmangalam  (R.V)  And  (P)  Annai  Thersa  Nagar  Block  6  ,  (Door No  1  to  1327C6)  999.OVERSEAS  ELECTORS",All  Voters,462,Tamilaga Vettri Kazhagam,175,130,45,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,6,9,9,9,9,5,9,6,9,6,9,9,9,9,9,9,9,9.740259740259742,5
290A,117,90,35,0,0,0,0,234,0,1,0,0,0,0,0,0,1,0,0,0,0,478,0,3,481,0,"Shunmugasigaman i  Nagar,  Kovilpatti","Nadar  Hr.  Sec.  School  South  Building,  1st room  from  west,  Shunmugasigamani
Nagar  Pandavarmangalam","1.Pandavarmangalam  (R.V)  And  (P)  Annai  Thersa  Nagar  Block  6  , (Door  No.1328  to  1376H6)  999.OVERSEAS  ELECTORS",All  Voters,478,Tamilaga Vettri Kazhagam,234,117,117,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,7,7,7,7,7,5,7,7,7,7,7,7,5,7,7,7,7,24.47698744769874,2
291,152,176,32,0,1,2,1,101,0,4,0,0,0,1,0,0,0,0,0,0,0,470,0,0,470,0,Pandavarmangalam Kovilpatti,"T.D.T.A.  Primary  School,  South  side,  East facing  Building  Pandavarmangalam","1.Pandavarmangalam  (R.V)  And  (P)  Melapandavarmangalam  block  1  , 999.OVERSEAS  ELECTORS",All  Voters,470,Dravida Munnetra Kazhagam,176,152,24,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,10,7,6,7,10,5,10,10,10,7,10,10,10,10,10,10,10,5.106382978723404,5
291A,117,192,35,0,0,0,1,127,0,18,0,0,0,0,0,0,1,0,0,1,0,492,0,3,495,0,Pandavarmangala m  Kovilpatti,"T.D.T.A.  Primary  School,
North  Side,  East  facing  Building, Pandavarmangalam","2.PandavarMangalam(R.V)  And  (P)  KeelapandavarMangalam  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,492,Dravida Munnetra Kazhagam,192,127,65,Tamilaga Vettri Kazhagam,1,3,4,2,9,9,9,6,9,5,9,9,9,9,9,9,6,9,9,6,9,13.21138211382114,20
292,278,261,72,3,0,2,1,196,0,14,1,1,0,0,1,0,4,5,0,1,1,841,0,3,844,0,Pandavarmangalam Kovilpatti,"Child  Welfare  Center,  Pandavarmangalam","1.Pandavarmangalam  (R.V)  And  (P)  Keelapandavarmangalam  block  3  , 999.OVERSEAS  ELECTORS",All  Voters,841,All India Anna Dravida Munnetra Kazhagam,278,261,17,Dravida Munnetra Kazhagam,2,1,4,3,8,16,9,10,16,5,10,10,16,16,10,16,7,6,16,10,10,2.02140309155767,28
293,88,208,37,0,0,0,0,99,0,14,0,0,1,0,0,0,2,2,0,0,0,451,0,2,453,0,Pandavarmangalam Kovilpatti,Panchayat  Office  Pandavarmangalam,"1.Pandavarmangalam  (R.V)  And  (P)  Kilapandavarmangalam  Block  4  , 999.OVERSEAS  ELECTORS",All  Voters,451,Dravida Munnetra Kazhagam,208,99,109,Tamilaga Vettri Kazhagam,1,3,4,2,9,9,9,9,9,5,9,9,8,9,9,9,6,6,9,9,9,24.16851441241685,19
294,242,370,83,1,0,4,0,213,0,0,0,3,0,0,2,0,1,0,1,1,0,921,0,0,921,0,Vijayapuri,"Panchayat  Union  Primary  School,  East  Side Vijayapuri","1.Kodukkamparai  (R.V)  And(p)  Kodukkamparai  ,  2.Kodukkamparai  (R.V) And  (P)  Vijaiyapuri  ,  999.OVERSEAS  ELECTORS",All  Voters,921,Dravida Munnetra Kazhagam,370,242,128,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,8,12,5,12,12,12,12,6,12,12,7,12,8,12,8,8,12,13.89793702497286,8
295,162,295,26,1,0,0,1,222,0,6,0,0,1,0,3,2,5,5,0,0,1,730,0,4,734,0,Senbagaperi,"Anganwadi  Centre,  Shenbagaperi","1.Kelavipatti  (R.V)  And  (P)  K.  duraisamypuram  ,  2.Kelavipatti  (R.V) And  (P)  Senbhaperi  ,  999.OVERSEAS  ELECTORS",All  Voters,730,Dravida Munnetra Kazhagam,295,222,73,Tamilaga Vettri Kazhagam,1,3,4,2,10,14,14,10,14,5,14,14,10,14,8,9,6,6,14,14,10,10.0,23
296,244,334,74,2,1,3,1,291,2,11,0,1,1,1,0,4,2,1,0,0,1,974,0,0,974,0,Kilavipatti,"Panchayat  Union  Primary  School,  west  side, Kilavipatti","1.Kelavipatti  (R.V)  And  (P)  Kovilpatti  ,  2.Kelavipatti  (R.V)  And(P)  S.  C,. colony  ,  3.Kelavipatti  (R.V)  And  (P)  Melacolony  ,  4.Kelavipatti  (R.V)  And  (P) Kachilapuram  ,  999.OVERSEAS  ELECTORS",All  Voters,974,Dravida Munnetra Kazhagam,334,291,43,Tamilaga Vettri Kazhagam,1,3,4,2,8,11,7,11,8,5,18,11,11,11,18,6,8,11,18,18,11,4.414784394250513,22
297,346,311,90,1,0,1,1,151,0,12,0,1,0,2,2,2,4,2,1,0,0,927,0,5,932,0,Mudukkalankulam,T.D.T.A.Primary  School.  Mudukkalankulam,"1.Mudukanlakulam  (R.V)  And  (P)  West  Street  Block  1  , 2.Mudukanlakulam  (R.V)  And  (P)  East  Street  Block  2  , 3.Mudukanlakulam  (R.V)  And  (P)  North  Street  Block  3  , 4.Mudukkalankulam  (R.V)  And  (P)  South  Street  Block3  ,  999.OVERSEAS ELECTORS",All  Voters,927,All India Anna Dravida Munnetra Kazhagam,346,311,35,Dravida Munnetra Kazhagam,2,1,4,3,11,16,11,11,16,5,16,11,16,7,7,7,6,7,11,16,16,3.775620280474649,26
298,143,131,41,0,0,0,1,130,0,4,0,0,0,0,4,0,0,1,1,0,1,457,0,0,457,0,Sivanthipatti,"T.D.T.A  Primary  School,  Sivanthipatti","1.Sivanthipatti  (R.V)  And(P)  Sivanthipatti  Block  1  ,  2.Sivanthipatti  (R.V) And(P)  Sivanthipatti  Block  2  ,  3.Sivanthipatti  (R.V)  And(P)  Kumarapuram Block  5  ,  999.OVERSEAS  ELECTORS",All  Voters,457,All India Anna Dravida Munnetra Kazhagam,143,131,12,Dravida Munnetra Kazhagam,2,1,4,3,11,11,11,7,11,5,11,11,11,11,5,11,11,7,7,11,7,2.62582056892779,11
299,233,401,82,1,0,1,0,255,0,1,0,0,0,0,1,1,0,3,1,0,1,981,0,1,982,0,A.Karisalkulam,"Community  Hall,  A.Karisalkulam","1.Sivanthipatti  (R.V)  And(P)  Karisalkulam  Block  3  ,  2.Sivanthipatti  (R.V) And(P)  Karisalkulam  Block  4  ,  999.OVERSEAS  ELECTORS",All  Voters,981,Dravida Munnetra Kazhagam,401,255,146,Tamilaga Vettri Kazhagam,1,3,4,2,6,13,6,13,13,6,13,13,13,13,6,6,13,5,6,13,6,14.88277268093782,8
300,362,250,37,0,0,0,0,267,2,1,1,0,0,0,3,1,4,1,0,0,0,929,0,0,929,0,Duraiyur,"T.D.T.A  Primary  School,  Duraiyur","1.Duraiyur  (R.V)  And  (P)  Duraiyur  block  1  ,  2.Duraivoor  (R.V)  And  (P) Duraivoor  Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,929,All India Anna Dravida Munnetra Kazhagam,362,267,95,Tamilaga Vettri Kazhagam,3,1,4,2,12,12,12,12,7,8,8,12,12,12,6,8,5,8,12,12,12,10.22604951560818,11
301,211,215,28,1,0,0,0,166,0,10,0,0,0,0,4,1,7,7,0,0,0,650,0,1,651,0,Theethampatti,"Tamil  Baptist  Primary  School,  Theethampatti","1.Duriyur  (R.V)  ,Theethampatti  (p)  Theethampatti  block  1  ,  2.Duriyur (R.V)  ,Theethampatti  (p)  Theethampatti  Block  2  ,  999.OVERSEAS ELECTORS",All  Voters,650,Dravida Munnetra Kazhagam,215,211,4,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,9,11,11,11,11,5,11,11,11,11,8,9,6,6,11,11,11,0.6153846153846154,29
302,79,283,61,2,0,2,0,253,0,0,1,0,0,0,1,0,3,2,0,0,1,688,0,2,690,0,Kamanayakkanpatti,"St.Aloycious  High  School,  Main  Building North  Side  First  Room,  Kamanayakkanpatti","1.Kamanayakkanpatti  (R.V)  And  (P)  South  street  block  1  ,
2.Kamanayakkanpatti  (R.V)  And  (P)  Veeramamunivar  Nagar  Block  1  , 3.Kamanayakkanpatti  (R.V)  And  (P)  Kulanthai  jesu  Nagar  Block  1  , 999.OVERSEAS  ELECTORS",All  Voters,688,Dravida Munnetra Kazhagam,283,253,30,Tamilaga Vettri Kazhagam,1,3,4,2,6,12,6,12,12,12,9,12,12,12,9,12,5,6,12,12,9,4.36046511627907,8
303,60,320,56,0,0,1,2,243,0,0,0,0,0,0,0,0,2,5,0,0,1,690,0,0,690,0,Kamanayakkanpatti,"St.Aloycious  High  School,  east  block  north portion,  Kamanayakkanpatti","1.Kamanayakkanpatti  (R.V)  And  (P)  Kamaraj  Nagar  (west)  Block  2  , 2.Kamanayakkanpatti  (R.V)  And  (P)  North  street  Block  2  ,
3.Kamanayakkanpatti  (p)  Kamaraj  Nagar  (West)  Block  2  , 4.Kamanayakkanpatti  (R.V)  And  (P)  East  colony  Block  2  , 5.Kamanayakkanpatti  (R.V)  And  (P)  Matha  Nagar  Block  2  ,
999.OVERSEAS  ELECTORS",All  Voters,690,Dravida Munnetra Kazhagam,320,243,77,Tamilaga Vettri Kazhagam,1,3,4,2,10,10,8,6,10,10,10,10,10,10,10,10,6,5,10,10,8,11.15942028985507,8
304,32,102,11,0,0,0,0,93,0,1,0,0,0,0,0,2,0,1,0,0,0,242,0,1,243,0,Kamanayakkanpatti,"St.Aloycious  High  School,  South  Block  West Portion  ,  Kamanayakkanpatti","1.Kamanayakkanpatti  (R.V)  And  (P)  North  Street  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,242,Dravida Munnetra Kazhagam,102,93,9,Tamilaga Vettri Kazhagam,1,3,4,2,8,8,8,8,8,6,8,8,8,8,8,5,8,6,8,8,8,3.71900826446281,4
305,68,131,104,1,1,2,0,195,3,0,0,0,0,1,4,2,4,4,1,1,5,527,0,2,529,0,Ettunaickenpatti,"Panchayat  Union  Primary  School,  West Facing  Building,  Ettunaickenpatti","1.Kamanayakkanpatti  (R.V)  And  (P)  East  street  ward  3  , 2.Kamanayakkanpatti  (R.V)  And  (P)  West  street  ward  3  ,
3.Kamanayakkanpatti  (R.V)  And  (P)  Middle  Street  Ward  3  ,
999.OVERSEAS  ELECTORS",All  Voters,527,Tamilaga Vettri Kazhagam,195,131,64,Dravida Munnetra Kazhagam,2,4,3,1,12,12,10,17,9,17,17,17,17,12,6,10,6,6,12,12,5,12.14421252371917,22
306,132,221,40,0,0,1,0,246,0,10,0,0,1,0,0,1,2,9,0,1,1,665,0,1,666,0,Guruvinatham,"Panchayat  Union  Primary  School,  West Portion,  Guruvinatham",1.  Kuruvinatham  (R.V)  And  (P)  Kuruvinatham  Block  1 999.OVERSEAS  ELECTORS,All  Voters,665,Tamilaga Vettri Kazhagam,246,221,25,Dravida Munnetra Kazhagam,2,3,4,1,13,13,8,13,13,5,13,13,8,13,13,8,7,6,13,8,8,3.759398496240602,25
307,193,186,41,0,0,0,2,77,0,43,0,1,0,0,0,1,0,0,0,0,0,544,0,3,547,0,Guruvinatham,"Panchayat  Union  Primary  School,  East Portion,  Ilanthaipatti",1.  Kuruvinatham  (R.V)  And  (P)  Ilanthaipatti  Block 999.OVERSEAS  ELECTORS,All  Voters,544,All India Anna Dravida Munnetra Kazhagam,193,186,7,Dravida Munnetra Kazhagam,2,1,5,3,9,9,9,6,9,4,9,7,9,9,9,7,9,9,9,9,9,1.286764705882353,45
308,239,178,37,0,0,0,1,116,0,6,0,0,0,0,2,1,2,2,0,1,0,585,0,0,585,0,Koppampatti,"Panchayat  Union  Middle  School,  West Building  Koppampatti","1.Koppampatti  (R.V),  Mudukalankulam  (P)  Koppampatti  East  street  Block 1  ,  2.Koppampatti  (R.V),  Mudukalankulam  (P)  Koppampatti  west  street Block  2  ,  3.Koppampatti  (R.V),  Mudukalankulam  (P)  Koppampatti  South Street  Block  2  ,  4.Koppampatti  (R.V),  Mudukanlakulam  (P)  Koppampatti East  street  block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,585,All India Anna Dravida Munnetra Kazhagam,239,178,61,Dravida Munnetra Kazhagam,2,1,4,3,12,12,12,9,12,5,12,12,12,12,6,9,6,6,12,9,12,10.42735042735043,14
309,169,162,32,0,0,1,0,119,1,8,0,1,1,1,0,3,2,0,0,0,0,500,0,0,500,0,Puthupatti,"Panchayat  Union  Primary  School,  West Building,  Puthupatti","1.Koppampatti  (R.V),  Mudukalankulam  (P)  Parasuramapuram  west  street block  3  ,  2.Koppampatti  (R.V),  Mudukalankulam  (P)  Parasuramapuram
East  Street  Block  3  ,  3.Koppampatti  (R.V),  Mudukalankulam  (P) Veppangkulam  Block  4  ,  4.Koppampatti  (R.V),  Mudukalankulam  (P)
Pudhupatti  West  Street  Block  5  ,  5.Koppampatti  (R.V),  Mudukalankulam
(P)  Pudhupatti  East  street  block  5  ,  999.OVERSEAS  ELECTORS",All  Voters,500,All India Anna Dravida Munnetra Kazhagam,169,162,7,Dravida Munnetra Kazhagam,2,1,4,3,13,13,8,13,8,5,13,8,8,8,13,6,7,13,13,13,13,1.4,16
310,160,166,49,1,0,0,4,189,0,2,0,0,0,0,1,2,4,1,1,0,0,580,0,1,581,0,Achankulam,"R.C.  Primary  School,  North  Side  Achankulam","1.Achankulam  (R.V)  And  (P)  Achankulam  Block  1  ,  2.Achankulam  (R.V) And  (P)  Achankulam  Block  2  ,  3.Achankulam  (R.V)  And  (P)  Kottaiur  Block 3  ,  999.OVERSEAS  ELECTORS",All  Voters,580,Tamilaga Vettri Kazhagam,189,166,23,Dravida Munnetra Kazhagam,2,3,4,1,9,13,13,5,13,7,13,13,13,13,9,7,5,9,9,13,13,3.96551724137931,11
311,125,188,41,0,0,0,1,119,1,7,0,1,0,0,1,0,0,4,1,0,0,489,0,2,491,0,Achankulam,"Community  Hall,  Achankulam","1.Achankulam  (R.V)  And  (P)  Shalnaickanpatti  Block  4  ,  2.Achankulam (R.V)  And  (P)  Sevalpatti  Block  5  ,  999.OVERSEAS  ELECTORS",All  Voters,489,Dravida Munnetra Kazhagam,188,125,63,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,12,12,12,7,7,5,12,7,12,12,7,12,12,6,7,12,12,12.88343558282209,14
312,271,306,72,1,0,5,0,189,0,1,0,0,1,1,0,0,2,4,2,0,1,856,0,2,858,0,Therkku  vandanam,"Common  Sevai  Center,  Therkku  Vandanam","1.Vadakkuvandanam  (R.V)  And  (P)  Vadakkuvandanam  Block  1  , 2.Vadakkuvandanam  (R.V)  And  (P)  Vadakkuvandanam  Block  2  , 3.Therkuvandanam  (R.V)  And  (P)  Therkuvandanam  Block  1  , 4.Therkuvandanam  (R.V)  And  (P)  K.Kumarapuram  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,856,Dravida Munnetra Kazhagam,306,271,35,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,9,14,5,14,14,9,14,14,9,9,14,14,7,6,7,14,9,4.088785046728971,12
